year,gdp_B,deficit_B,concept,threshold_type,threshold,n_units_M,share_above,taken_B,tax_paid_now_B,implied_rate,revenue_B,revenue_pct_gdp,iter_gap,unreachable_share
2027,33315.19,1900,ordinary,top_0.1,2692497.58883482,0.18746053783717218,9.996697552748512e-4,889.639437561524,303.5342295332425,34.1187920316596,586.1052080282815,1.7592731964856916,6.595051944900705e-7,0.14459531839094913
2027,33315.19,1900,ordinary,top_0.01,12918160.19397071,0.018751667559181603,9.989387743226216e-5,291.5550688128243,98.26192269926923,33.702697435300806,193.29314611355505,0.58019523860904,1.19884074290285e-7,0.21632840786318866
2027,33315.19,1900,agi,dollar,1000000,1.1156283217124814,0.0059445643653250465,2567.18422816672,788.072718048079,30.69794171378414,1779.111510118641,5.340241223653957,1.0285632926656398e-4,0
2027,33315.19,1900,agi,dollar,5000000,0.13187007976355988,7.029299954979254e-4,1306.199079999707,375.86654326248527,28.775593936459487,930.3325367372217,2.7925175775291144,1.86105374308303e-5,0
2027,33315.19,1900,agi,dollar,10000000,0.04302259159313612,2.2921833845645988e-4,926.9060186678714,259.3054655115184,27.97537833276629,667.600553156353,2.0038923780904536,8.079813451133668e-6,0
2027,33315.19,1900,agi,top_10,204623.0923939147,18.757979331129462,0.09998674624103335,5854.35136872775,1787.0479953676054,30.52512366978003,4067.3033733601446,12.208555236695767,1.4772084260214892e-4,0
2027,33315.19,1900,agi,top_5,293413.47821663925,9.373002118194448,0.04999740993565183,4686.404774318433,1454.3666340159944,31.033739167942663,3232.0381403024385,9.701394890146021,2.6515172843860765e-4,0
2027,33315.19,1900,agi,top_1,712835.1240865401,1.8757894582639858,0.009998964207279875,2990.295243993918,932.4663463168563,31.18308629188833,2057.828897677062,6.176848751806793,4.2893855798104173e-5,0
2027,33315.19,1900,agi,top_0.1,3543102.254084166,0.1875780148675629,9.998625552505133e-4,1534.9112178560572,448.0611836833459,29.191342044472876,1086.8500341727113,3.262325786443695,1.1337859351716448e-5,0
2027,33315.19,1900,agi,top_0.01,18500511.265096176,0.018730557510031026,9.976075069085576e-5,696.2592954357345,190.69573621078507,27.388609022654908,505.5635592249495,1.5175166619939717,1.91160193922146e-6,0
2027,33315.19,1900,accrual,dollar,1000000,3.6116823152900355,0.019265526141753902,6839.968848761068,1040.3389728036964,15.209703374484436,5799.629875957372,17.408365000942126,4.1177800001122525e-4,0.01949945917464391
2027,33315.19,1900,accrual,dollar,5000000,0.30952837377576503,0.0016512462454894112,2850.7753605090884,431.5599139933656,15.138334642975801,2419.2154465157228,7.2615988277891335,5.107859901413321e-5,0.009932752681692164
2027,33315.19,1900,accrual,dollar,10000000,0.11712992307896632,6.247920058202554e-4,1893.435746103036,267.3795804920301,14.12139709743707,1626.056165611006,4.88082512995125,1.844453207720071e-5,0.005283108747536179
2027,33315.19,1900,accrual,top_10,307448.94791181997,18.7417452688806,0.09998637816426913,12256.268362358614,1822.0883520866478,14.866583353238541,10434.180010271966,31.319587282173583,0.001312675401164403,0.026138924717882553
2027,33315.19,1900,accrual,top_5,507069.70144071814,9.371625628832533,0.049994188237289114,9690.143786952085,1439.1530381845519,14.85172015839839,8250.990748767534,24.766452626467185,3.7546449375792956e-4,0.022680741703048228
2027,33315.19,1900,accrual,top_1,1561245.2514560642,1.8744808290329982,0.009999464442780681,5378.382974529735,823.0037214242338,15.30206616601515,4555.379253105501,13.673580289067843,1.4030243517355903e-4,0.018577273709000947
2027,33315.19,1900,accrual,top_0.1,7449404.895308248,0.1874556382654466,9.999266418666876e-4,2269.869356526248,334.4510989598357,14.734376584195637,1935.4182575664122,5.8094168382843145,5.240822480485582e-5,0.006695156332559432
2027,33315.19,1900,accrual,top_0.01,27341463.59887264,0.018741183983965633,9.999366748707985e-5,1104.0681194740644,119.00073809109654,10.778387310719914,985.0673813829678,2.956811536668312,8.049518500337502e-6,1.711241334406568e-4
